,names,stars,reviews,polarity,subjectivity,Pol_Analysis,stars_analysis
3870,Pranati Singh,5.0 out of 5 stars,Go for it.,0.0,0.0,Nutral,Satisfied
3871,manish C.,3.0 out of 5 stars,Battery not working properly.,0.0,0.1,Nutral,Dont_Know
3872,Ayshwarya,5.0 out of 5 stars,Awesome speakers!,1.0,1.0,Positive,Satisfied
3873,Dinesh kumar,5.0 out of 5 stars,Awesome,1.0,1.0,Positive,Satisfied
3874,A. M. Vaidyanathan,4.0 out of 5 stars,Superb,1.0,1.0,Positive,Satisfied
3875,Sandeep Chowdary Paridala,4.0 out of 5 stars,It's ok,0.5,0.5,Positive,Satisfied
3876,kalyan,3.0 out of 5 stars,Mic option not available,-0.2,0.4,Negative,Dont_Know
3877,Shivansh Tripathi,4.0 out of 5 stars,Better than other sound quality is awesome,0.44375,0.56875,Positive,Satisfied
3878,Vinod,5.0 out of 5 stars,"Value for money, superb sound quality.",0.7,0.7,Positive,Satisfied
3879,c a singkai,5.0 out of 5 stars,Go for it.,0.0,0.0,Nutral,Satisfied
3880,sarbeswar panda,5.0 out of 5 stars,Good,0.7,0.6000000000000001,Positive,Satisfied
3881,Chetan D.,5.0 out of 5 stars,Bad choce,-0.6999999999999998,0.6666666666666666,Negative,Satisfied
3882,Rajesh Kumar,4.0 out of 5 stars,Speaker,0.0,0.0,Nutral,Satisfied
3883,Krishna,5.0 out of 5 stars,Good product amasan,0.7,0.6000000000000001,Positive,Satisfied
3884,Amazon Customer,5.0 out of 5 stars,good quality,0.7,0.6000000000000001,Positive,Satisfied
3885,Sanjoy Sadhu,4.0 out of 5 stars,Very good,0.9099999999999999,0.7800000000000001,Positive,Satisfied
3886,Nethra raj,5.0 out of 5 stars,Best sound quality,0.7,0.35,Positive,Satisfied
3887,Pankaj,1.0 out of 5 stars,Fake product😡,-0.5,1.0,Negative,Not_Satisfied
3888,Nyaz Shaikh,5.0 out of 5 stars,Supper,0.0,0.0,Nutral,Satisfied
3889,Ankit Sahu,1.0 out of 5 stars,Bad product,-0.6999999999999998,0.6666666666666666,Negative,Not_Satisfied
3890,Kuldeep Singh,5.0 out of 5 stars,Super speaker,0.3333333333333333,0.6666666666666666,Positive,Satisfied
3891,Tuhina,5.0 out of 5 stars,Awsome,0.0,0.0,Nutral,Satisfied
3892,Vikas,5.0 out of 5 stars,Worth for money,0.3,0.1,Positive,Satisfied
3893,Aishwarya,5.0 out of 5 stars,Good one,0.7,0.6000000000000001,Positive,Satisfied
3894,sunny singh,4.0 out of 5 stars,Super,0.3333333333333333,0.6666666666666666,Positive,Satisfied
3895,Mohit Maravi,5.0 out of 5 stars,Like,0.0,0.0,Nutral,Satisfied
3896,Todo t.,5.0 out of 5 stars,Very good product,0.9099999999999999,0.7800000000000001,Positive,Satisfied
3897,Nani,5.0 out of 5 stars,Worth buying,0.3,0.1,Positive,Satisfied
3898,Deepesh Upare,5.0 out of 5 stars,JBL is love 😍,0.5,0.6,Positive,Satisfied
3899,Aditya dhabale,5.0 out of 5 stars,How is this,0.0,0.0,Nutral,Satisfied
3900,Amazon Customer,5.0 out of 5 stars,Best,1.0,0.3,Positive,Satisfied
3901,Uddhab Das,5.0 out of 5 stars,Budget speaker,0.0,0.0,Nutral,Satisfied
3902,Nitim,5.0 out of 5 stars,good,0.7,0.6000000000000001,Positive,Satisfied
3903,Akbar Syed,1.0 out of 5 stars,.,0.0,0.0,Nutral,Not_Satisfied
3904,Amazon Customer,5.0 out of 5 stars,Excellent,1.0,1.0,Positive,Satisfied
3905,Amazon Customer,5.0 out of 5 stars,Nice product,0.6,1.0,Positive,Satisfied
3906,PALLAB DAS,5.0 out of 5 stars,Beautiful Product,0.85,1.0,Positive,Satisfied
3907,Shivam patel,5.0 out of 5 stars,Value for money,0.0,0.0,Nutral,Satisfied
3908,Rajat Kumar,5.0 out of 5 stars,nice and awesome JBL good product,0.7666666666666666,0.8666666666666667,Positive,Satisfied
3909,maansi,4.0 out of 5 stars,Superb speaker,1.0,1.0,Positive,Satisfied
3910,Shanu D,5.0 out of 5 stars,👍,0.0,0.0,Nutral,Satisfied
3911,rahul371mishra,5.0 out of 5 stars,Good 👍👌,0.7,0.6000000000000001,Positive,Satisfied
3912,Dilipkumar,5.0 out of 5 stars,Very nice,0.78,1.0,Positive,Satisfied
3913,Swarn vikash,5.0 out of 5 stars,Best sound and bass.,0.4166666666666667,0.39999999999999997,Positive,Satisfied
3914,kranthi Kumar,5.0 out of 5 stars,Awesome product,1.0,1.0,Positive,Satisfied
3915,Brijesh k.,5.0 out of 5 stars,Ultimate,0.0,1.0,Nutral,Satisfied
3916,Rakesh Medhi,5.0 out of 5 stars,Best product,1.0,0.3,Positive,Satisfied
3917,Ruchir Dani,2.0 out of 5 stars,Bad,-0.6999999999999998,0.6666666666666666,Negative,Not_Satisfied
3918,Mausam gupta,4.0 out of 5 stars,Got it at Cheaper price,0.0,0.0,Nutral,Satisfied
3919,Amazon Customer,4.0 out of 5 stars,High price,0.16,0.5399999999999999,Positive,Satisfied
3920,Rahul Singh,1.0 out of 5 stars,Please do not buy JBL product from any Ecommerce site.,0.0,0.0,Nutral,Not_Satisfied
3921,Saleesh,1.0 out of 5 stars,Damaged product,0.0,0.0,Nutral,Not_Satisfied
3922,banibrata,5.0 out of 5 stars,Good one,0.7,0.6000000000000001,Positive,Satisfied
3923,Rahul Kumar yadav,5.0 out of 5 stars,Love it,0.5,0.6,Positive,Satisfied
3924,Amazon Customer,4.0 out of 5 stars,Perfect for listening to music,1.0,1.0,Positive,Satisfied
3925,Robins Raj,3.0 out of 5 stars,JBL speakers is great sound quality...,0.6000000000000001,0.575,Positive,Dont_Know
3926,Kabish kumar,5.0 out of 5 stars,I'm happy,0.8,1.0,Positive,Satisfied
